target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	2188.78	103	9.90764
CLUG_00002T0	1425	1593.01	56	7.40127
CLUG_00003T0	1767	1860.89	44	4.97815
CLUG_00004T0	1752	1928.96	204	22.266
CLUG_00005T0	1113	1121.2	26	4.88231
CLUG_00006T0	954	834.747	17	4.28775
CLUG_00007T0	1323	1431.89	80	11.763
CLUG_00008T0	1104	1090.08	7	1.35199
CLUG_00009T0	873	857.808	76	18.6534
CLUG_00010T0	750	709.225	52	15.4367
CLUG_00011T0	1803	2023.58	33	3.43344
CLUG_00012T0	1413	1520.9	20	2.76863
CLUG_00013T0	1518	1621.07	8	1.03902
CLUG_00014T0	1086	1078.25	510	99.5835
CLUG_00015T0	1638	1649.9	553	70.5674
CLUG_00016T0	951	884.051	254	60.4912
CLUG_00017T0	1008	967.253	395	85.979
CLUG_00018T0	1467	1492.29	465	65.6046
CLUG_00019T0	1095	1247.8	156	26.3218
CLUG_00020T0	1014	1134.19	102	18.9344
CLUG_00021T0	435	301.112	95	66.425
CLUG_00022T0	990	886.482	98	23.2751
CLUG_00023T0	453	443.654	2677	1270.4
CLUG_00024T0	666	615.656	4883	1669.88
CLUG_00025T0	1371	1478.28	55	7.83322
CLUG_00026T0	4206	4849.14	366	15.891
CLUG_00027T0	1698	1835.61	6	0.688186
CLUG_00028T0	858	845.27	26	6.4761
CLUG_00029T0	1359	1527.47	9	1.24053
CLUG_00030T0	594	675.841	4	1.2461
CLUG_00031T0	207	54.147	399	1551.44
CLUG_00032T0	1227	1426.36	571	84.2834
CLUG_00033T0	711	639.994	598	196.726
CLUG_00034T0	2391	2639.36	55	4.38732
CLUG_00035T0	2817	3235.94	33	2.14709
CLUG_00036T0	5670	6566.75	133	4.26419
CLUG_00037T0	1224	1309.62	21	3.37606
CLUG_00038T0	798	811.46	2	0.518918
CLUG_00039T0	1191	1145.96	31	5.69543
CLUG_00040T0	555	389.849	1	0.540057
CLUG_00041T0	1380	1272.89	14	2.31564
CLUG_00042T0	1089	1094.75	19	3.65406
CLUG_00043T0	2451	2597.74	31	2.51248
CLUG_00044T0	2508	2815.7	13	0.972057
CLUG_00045T0	660	548.639	6	2.3025
CLUG_00046T0	1218	1228.13	75	12.8574
CLUG_00047T0	1443	1450.51	45	6.53173
CLUG_00048T0	1248	1277.44	997	164.32
CLUG_00049T0	1677	1837.16	66	7.56365
CLUG_00050T0	1374	1405.26	653	97.8342
CLUG_00051T0	978	870.293	36	8.70909
CLUG_00052T0	4236	4843.69	254	11.0406
CLUG_00053T0	1485	1752.13	142	17.0631
CLUG_00054T0	1476	1660.62	124	15.7212
CLUG_00055T0	1056	979.176	41	8.81574
CLUG_00056T0	2169	2385.75	64	5.64795
CLUG_00057T0	1629	1962.42	6	0.643718
CLUG_00058T0	930	980.245	393	84.41
CLUG_00059T0	717	534.431	0	0
CLUG_00060T0	1044	1086.57	1	0.193766
CLUG_00061T0	960	1045.91	1	0.201299
CLUG_00062T0	1170	1130.08	3	0.558916
CLUG_00063T0	3522	3625.96	9	0.522583
CLUG_00064T0	870	968.309	26	5.65321
CLUG_00065T0	1035	992.846	64	13.5717
CLUG_00066T0	2259	2076.42	0	0
