target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	1350.42	5171	128.568
CLUG_00002T0	1425	929.025	901	32.563
CLUG_00003T0	1767	1313.09	468	11.9668
CLUG_00004T0	1752	1194.4	1368	38.4558
CLUG_00005T0	1113	597.848	567	31.8434
CLUG_00006T0	954	469.78	435	31.0901
CLUG_00007T0	1323	842.725	290	11.5542
CLUG_00008T0	1104	614.668	287	15.6772
CLUG_00009T0	873	439.649	270	20.6198
CLUG_00010T0	750	388.977	164	14.1562
CLUG_00011T0	1803	1322.42	715	18.1536
CLUG_00012T0	1413	905.426	318	11.7924
CLUG_00013T0	1518	1026.21	6336	207.302
CLUG_00014T0	1086	565.53	1591	94.4587
CLUG_00015T0	1638	1140.87	2103	61.8915
CLUG_00016T0	951	489.353	1352	92.7644
CLUG_00017T0	1008	517.457	1438	93.3064
CLUG_00018T0	1467	955.994	4485	157.519
CLUG_00019T0	1095	611.864	27314	1498.85
CLUG_00020T0	1014	539.521	662	41.198
CLUG_00021T0	435	217.201	257	39.7281
CLUG_00022T0	990	499.537	8979	603.514
CLUG_00023T0	453	226.246	9827	1458.37
CLUG_00024T0	666	333.523	17425	1754.18
CLUG_00025T0	1371	835.49	780	31.3459
CLUG_00026T0	4206	3566.01	2427	22.8515
CLUG_00027T0	1698	1171.93	296	8.48038
CLUG_00028T0	858	441.369	93	7.0747
CLUG_00029T0	1359	827.376	477	19.3572
CLUG_00030T0	594	297.913	3388	381.84
CLUG_00031T0	207	103.793	0	0
CLUG_00032T0	1227	853.764	14612	574.644
CLUG_00033T0	711	356.999	4534	426.424
CLUG_00034T0	2391	1869.94	19293	346.417
CLUG_00035T0	2817	2248.45	569	8.49681
CLUG_00036T0	5670	4993.75	1871	12.5798
CLUG_00037T0	1224	742.649	221	9.99162
CLUG_00038T0	798	419.51	267	21.3696
CLUG_00039T0	1191	695.096	280	13.5251
CLUG_00040T0	555	278.183	102	12.3111
CLUG_00041T0	1380	864.565	530	20.5828
CLUG_00042T0	1089	579.064	939	54.446
CLUG_00043T0	2451	2001.09	428	7.18132
CLUG_00044T0	2508	1962.83	446	7.62921
CLUG_00045T0	660	332.076	574	58.0364
CLUG_00046T0	1218	714.776	259	12.1663
CLUG_00047T0	1443	933.964	9997	359.39
CLUG_00048T0	1248	775.414	4016	173.895
CLUG_00049T0	1677	1180.12	2845	80.9438
CLUG_00050T0	1374	868.261	1727	66.7835
CLUG_00051T0	978	494.36	34083	2314.84
CLUG_00052T0	4236	3609.32	2843	26.4471
CLUG_00053T0	1485	999.952	666	22.3626
CLUG_00054T0	1476	999.788	827	27.7731
CLUG_00055T0	1056	576.792	856	49.8289
CLUG_00056T0	2169	1625.79	1636	33.7868
CLUG_00057T0	1629	1141.61	3338	98.1742
CLUG_00058T0	930	488.323	638	43.8673
CLUG_00059T0	717	361.97	292	27.0855
CLUG_00060T0	1044	570.095	184	10.8367
CLUG_00061T0	960	544.403	250	15.4186
CLUG_00062T0	1170	663.09	303	15.3425
CLUG_00063T0	3522	2908.18	670	7.73534
CLUG_00064T0	870	430.272	790	61.6469
CLUG_00065T0	1035	536.408	734	45.9439
CLUG_00066T0	2259	1672.54	616	12.366
CLUG_00067T0	513	263.697	72	9.16755
CLUG_00068T0	1251	860.051	271	10.5797
CLUG_00069T0	1290	797.052	337	14.1961
CLUG_00070T0	804	410.82	181	14.7929
CLUG_00071T0	1314	774.387	256	11.0996
CLUG_00072T0	2151	1636.53	906	18.5879
CLUG_00073T0	4293	3718.88	1313	11.8544
CLUG_00074T0	1359	888.162	387	14.63
CLUG_00075T0	990	521.736	110612	7118.33
CLUG_00076T0	693	355.287	40069	3786.66
CLUG_00077T0	1938	1351.21	6283	156.124
CLUG_00078T0	1086	568.064	3088	182.518
CLUG_00079T0	420	214.086	284	44.5406
CLUG_00080T0	2019	1489.68	2705	60.9678
CLUG_00081T0	1542	1051.32	2864	91.4669
CLUG_00082T0	1464	969.789	1924	66.6124
CLUG_00083T0	1581	1093.48	1500	46.0582
CLUG_00084T0	792	412.239	929	75.6648
CLUG_00085T0	723	365.14	51506	4736.15
CLUG_00086T0	1629	1183.98	72655	2060.39
CLUG_00087T0	1977	1401.13	49857	1194.74
CLUG_00088T0	3246	2739.28	2777	34.0382
CLUG_00089T0	2217	1698.16	1440	28.4715
CLUG_00090T0	1011	532.653	951	59.9464
CLUG_00091T0	960	494.856	357	24.2223
CLUG_00092T0	450	228.408	204	29.9878
CLUG_00093T0	1197	710.241	7952	375.922
CLUG_00094T0	555	277.926	481	58.1088
CLUG_00095T0	1509	1055.47	1837	58.4374
CLUG_00096T0	1032	546.142	1379	84.7785
CLUG_00097T0	2691	2131.03	3938	62.046
CLUG_00098T0	1398	886.453	1936	73.3291
CLUG_00099T0	1839	1308.97	5793	148.594
CLUG_00100T0	852	430.771	2446	190.65
CLUG_00101T0	1290	775.878	104	4.50056
CLUG_00102T0	522	261.119	48	6.17205
CLUG_00103T0	807	403.346	166	13.8184
CLUG_00104T0	570	285.597	22	2.5864
CLUG_00105T0	1662	1150.57	393	11.4685
CLUG_00106T0	2946	2366.6	82	1.16336
CLUG_00107T0	690	347.762	30	2.89645
CLUG_00108T0	501	250.469	1754	235.127
CLUG_00109T0	1842	1322.38	9312	236.436
CLUG_00110T0	495	247.432	1198	162.565
CLUG_00111T0	1737	1215.07	4890	135.125
CLUG_00112T0	621	311.834	882	94.9668
CLUG_00113T0	894	443.465	1537	116.37
CLUG_00114T0	687	342.272	1715.76	168.311
CLUG_00115T0	666	332.088	28.2405	2.85526
CLUG_00116T0	3180	2683.88	2508	31.3755
CLUG_00117T0	2385	1856.01	2530	45.7684
CLUG_00118T0	2070	1577.16	5364	114.193
CLUG_00119T0	891	478.909	1369	95.9793
CLUG_00120T0	1467	981.09	2686	91.9229
CLUG_00121T0	2064	1542.46	8090	176.101
CLUG_00122T0	1017	505.126	822	54.6385
CLUG_00123T0	1098	610.951	5683	312.319
CLUG_00124T0	3042	2505.39	3144	42.1341
CLUG_00125T0	471	235.311	430	61.3553
CLUG_00126T0	852	422.078	863	68.6507
CLUG_00127T0	801	401.465	649	54.2779
CLUG_00128T0	669	336.771	433	43.1698
CLUG_00129T0	753	381.056	527	46.4354
CLUG_00130T0	540	270.275	2314	287.464
CLUG_00131T0	2982	2457.09	6834.53	93.3932
CLUG_00132T0	852	434.455	957	73.9595
CLUG_00133T0	564	282.526	1616	192.048
CLUG_00134T0	1164	701.517	14643	700.84
CLUG_00135T0	4077	3529.46	64813	616.568
CLUG_00136T0	885	452.578	27477	2038.46
CLUG_00137T0	1098	594.315	70763	3997.76
CLUG_00138T0	1617	1128	7882	234.614
CLUG_00139T0	1683	1137.92	730	21.5396
CLUG_00140T0	588	294.829	261	29.7234
CLUG_00141T0	1836	1319.13	1659	42.2264
CLUG_00142T0	2829	2320.67	1170	16.9278
CLUG_00143T0	3246	2636.44	1095	13.9452
CLUG_00144T0	1464	922.234	1110	40.4119
CLUG_00145T0	783	393.318	521	44.4755
CLUG_00146T0	438	218.708	55	8.44356
CLUG_00147T0	1161	648.647	189	9.78318
CLUG_00148T0	216	108.248	0	0
CLUG_00149T0	3495	2873.08	860	10.0503
CLUG_00150T0	429	216.571	45	6.97653
CLUG_00151T0	456	227.756	1130	166.585
CLUG_00152T0	879	439.753	5123	391.149
CLUG_00153T0	1080	570.317	430	25.3151
CLUG_00154T0	1107	599.709	131	7.33429
CLUG_00155T0	1074	553.582	517	31.3571
CLUG_00156T0	2124	1580.66	2218	47.1141
CLUG_00157T0	597	299.456	19632	2201.2
CLUG_00158T0	1104	599.604	16599	929.489
CLUG_00159T0	345	172.233	1156	225.355
CLUG_00160T0	5313	4657.23	10150	73.1755
CLUG_00161T0	255	127.56	0	0
CLUG_00162T0	1941	1437.69	2102	49.0902
CLUG_00163T0	1731	1260.88	28537	759.906
CLUG_00164T0	2106	1605.85	1823	38.1161
CLUG_00165T0	2928	2356.01	1536	21.8898
CLUG_00166T0	3483	2947.17	1521	17.3281
CLUG_00167T0	423	211.182	253	40.2245
CLUG_00168T0	1575	1175.94	1283	36.6325
CLUG_00169T0	1080	650.505	684	35.3047
CLUG_00170T0	2031	1505.54	26147	583.12
CLUG_00171T0	1047	527.811	1434	91.2216
CLUG_00172T0	1662	1111.86	1938	58.5237
CLUG_00173T0	468	233.799	238	34.1791
CLUG_00174T0	1128	693.534	1115	53.9801
CLUG_00175T0	1254	816.915	872	35.8399
CLUG_00176T0	1452	962.25	4843	168.987
CLUG_00177T0	1536	1068.41	6602	207.473
CLUG_00178T0	1377	855.464	107512	4219.72
CLUG_00179T0	3090	2662.62	1719	21.6767
CLUG_00180T0	1107	619.314	233	12.632
CLUG_00181T0	903	446.02	328	24.6915
CLUG_00182T0	432	228.516	4620	678.817
CLUG_00183T0	2268	1858.39	61617	1113.24
CLUG_00184T0	1281	927.989	283	10.2393
CLUG_00185T0	1341	992.587	423	14.3086
CLUG_00186T0	657	346.95	122	11.8065
CLUG_00187T0	654	334.306	181.436	18.2224
CLUG_00188T0	540	277.954	129.564	15.6509
CLUG_00189T0	657	330.514	872	88.5838
CLUG_00190T0	627	316.334	1411	149.764
CLUG_00191T0	534	302.919	169	18.7322
CLUG_00192T0	1953	1544.66	630	13.6941
CLUG_00193T0	1443	918.123	564	20.6255
CLUG_00194T0	1470	986.222	452	15.3883
CLUG_00195T0	1749	1348.55	1604	39.9359
CLUG_00196T0	4365	4359.44	1960	15.0957
CLUG_00197T0	3627	3157.28	578	6.14669
CLUG_00198T0	681	354.831	251	23.7509
CLUG_00199T0	708	395.337	226	19.1941
CLUG_00200T0	555	303.816	94	10.3883
CLUG_00201T0	4227	3732.99	934	8.40072
CLUG_00202T0	456	237.559	57	8.05618
CLUG_00203T0	1131	655.595	348	17.8226
CLUG_00204T0	1038	555.44	410	24.7841
CLUG_00205T0	1848	1397.84	181	4.34759
CLUG_00206T0	789	400.313	4073.14	341.63
CLUG_00207T0	1779	1318.87	485	12.3471
CLUG_00208T0	1530	1036.47	1134	36.7352
CLUG_00209T0	1038	562.615	6727	401.455
CLUG_00210T0	1782	1287.98	4749	123.8
CLUG_00211T0	2331	1841.53	3898	71.0705
CLUG_00212T0	1305	825.272	2949	119.979
CLUG_00213T0	1422	957.225	4376	153.494
CLUG_00214T0	1944	1470.05	389	8.88473
CLUG_00215T0	1413	977.148	556	19.1048
CLUG_00216T0	900	456.802	1223	89.893
CLUG_00217T0	690	351.643	69	6.58831
CLUG_00218T0	729	369.059	60	5.45861
CLUG_00219T0	2691	2303.1	281	4.09656
CLUG_00220T0	1752	1297.3	83	2.14815
CLUG_00221T0	2760	2389.62	7906	111.085
CLUG_00222T0	852	476.83	0	0
CLUG_00223T0	1305	923.294	624	22.6919
CLUG_00224T0	1251	796.745	699	29.4568
CLUG_00225T0	1458	991.149	682	23.1032
CLUG_00226T0	972	482.201	992	69.0733
CLUG_00227T0	1545	1087.5	2342	72.308
