target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	1349.79	6750	136
CLUG_00002T0	1425	933.615	2569	74.8337
CLUG_00003T0	1767	1296.5	1766	37.0442
CLUG_00004T0	1752	1217.71	9786	218.556
CLUG_00005T0	1113	611.424	1571	69.877
CLUG_00006T0	954	475.236	874	50.0153
CLUG_00007T0	1323	845.628	1038	33.3825
CLUG_00008T0	1104	636.573	436	18.6268
CLUG_00009T0	873	453.753	440	26.3714
CLUG_00010T0	750	389.021	373	26.0757
CLUG_00011T0	1803	1334.14	1225	24.971
CLUG_00012T0	1413	911.624	322	9.60595
CLUG_00013T0	1518	1050.88	969	25.0768
CLUG_00014T0	1086	580.374	822	38.5181
CLUG_00015T0	1638	1128.19	250	6.02638
CLUG_00016T0	951	472.984	1104	63.478
CLUG_00017T0	1008	508.562	3592	192.085
CLUG_00018T0	1467	952.806	101581	2899.4
CLUG_00019T0	1095	606.859	2261	101.324
CLUG_00020T0	1014	552.362	448	22.0574
CLUG_00021T0	435	217.201	939	117.572
CLUG_00022T0	990	495.539	4023	220.786
CLUG_00023T0	453	226.246	5080	610.637
CLUG_00024T0	666	343.67	1901	150.432
CLUG_00025T0	1371	838.482	845	27.4071
CLUG_00026T0	4206	3599.06	1514	11.4403
CLUG_00027T0	1698	1166.12	3004	70.0578
CLUG_00028T0	858	442.87	38	2.3335
CLUG_00029T0	1359	844.61	3251	104.679
CLUG_00030T0	594	297.913	8921	814.377
CLUG_00031T0	207	103.793	0	0
CLUG_00032T0	1227	847.812	4551	145.985
CLUG_00033T0	711	365.769	544	40.4476
CLUG_00034T0	2391	1912.92	28295	402.266
CLUG_00035T0	2817	2263.24	4911	59.012
CLUG_00036T0	5670	5087.84	3595	19.2161
CLUG_00037T0	1224	755.712	1886	67.8713
CLUG_00038T0	798	418.831	991	64.3481
CLUG_00039T0	1191	700.596	834	32.3742
CLUG_00040T0	555	278.755	142	13.8537
CLUG_00041T0	1380	883.456	1457	44.8513
CLUG_00042T0	1089	584.851	828	38.5022
CLUG_00043T0	2451	2037.52	1736	23.1712
CLUG_00044T0	2508	1979.76	2071	28.4491
CLUG_00045T0	660	332.076	419	34.3144
CLUG_00046T0	1218	729.398	780	29.0824
CLUG_00047T0	1443	940.502	8380	242.318
CLUG_00048T0	1248	792.071	9476	325.358
CLUG_00049T0	1677	1185.46	9257	212.365
CLUG_00050T0	1374	883.068	1953	60.1462
CLUG_00051T0	978	507.428	1419	76.0516
CLUG_00052T0	4236	3667.31	4964	36.8116
CLUG_00053T0	1485	1021.25	1497	39.8647
CLUG_00054T0	1476	996.735	1775	48.4305
CLUG_00055T0	1056	579.516	7860	368.857
CLUG_00056T0	2169	1665.63	1337	21.8299
CLUG_00057T0	1629	1145.75	3122	74.1045
CLUG_00058T0	930	494.963	1671	91.8129
CLUG_00059T0	717	359.576	464	35.0936
CLUG_00060T0	1044	575.377	1469	69.4336
CLUG_00061T0	960	561.306	1262	61.1449
CLUG_00062T0	1170	686.621	690	27.3295
CLUG_00063T0	3522	2918.75	4994	46.5321
CLUG_00064T0	870	430.219	731	46.2092
CLUG_00065T0	1035	536.556	459	23.2647
CLUG_00066T0	2259	1720.85	1092	17.2576
CLUG_00067T0	513	261.33	176	18.3157
CLUG_00068T0	1251	849.815	354	11.3287
CLUG_00069T0	1290	794.231	1509	51.6706
CLUG_00070T0	804	416.487	315	20.5688
CLUG_00071T0	1314	771.504	1343	47.3411
CLUG_00072T0	2151	1651.98	12995	213.931
CLUG_00073T0	4293	3768.51	13608	98.2031
CLUG_00074T0	1359	881.913	7040	217.094
CLUG_00075T0	990	526.08	7113	367.707
CLUG_00076T0	693	362.173	4066	305.318
CLUG_00077T0	1938	1364.3	9066	180.72
CLUG_00078T0	1086	563.9	9905	477.698
CLUG_00079T0	420	224.068	189	22.9395
CLUG_00080T0	2019	1536.92	3908	69.1519
CLUG_00081T0	1542	1049.16	2892	74.9647
CLUG_00082T0	1464	987.306	3152	86.823
CLUG_00083T0	1581	1100.21	2858	70.6462
CLUG_00084T0	792	409.39	577	38.3301
CLUG_00085T0	723	365.14	1584	117.977
CLUG_00086T0	1629	1203.59	20123	454.688
CLUG_00087T0	1977	1431.39	1838	34.9211
CLUG_00088T0	3246	2748.35	1835	18.1579
CLUG_00089T0	2217	1701.27	1082	17.2964
CLUG_00090T0	1011	539.321	5371	270.837
CLUG_00091T0	960	492.985	419	23.1143
CLUG_00092T0	450	231.404	790	92.8446
CLUG_00093T0	1197	719.796	4288	162.012
