target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	1375.18	17464	300.98
CLUG_00002T0	1425	930.336	1748	44.5301
CLUG_00003T0	1767	1303.52	115	2.0909
CLUG_00004T0	1752	1200.28	391	7.72051
CLUG_00005T0	1113	606.558	457	17.8565
CLUG_00006T0	954	468.029	358	18.1285
CLUG_00007T0	1323	861.232	142	3.90769
CLUG_00008T0	1104	623.604	501	19.0406
CLUG_00009T0	873	438.492	1909	103.18
CLUG_00010T0	750	396.257	798	47.7285
CLUG_00011T0	1803	1330.16	1590	28.33
CLUG_00012T0	1413	908.653	99	2.5822
CLUG_00013T0	1518	1048.27	3919	88.6045
CLUG_00014T0	1086	575.272	1234	50.8387
CLUG_00015T0	1638	1147.24	1072	22.1458
CLUG_00016T0	951	466.622	650	33.0142
CLUG_00017T0	1008	513.849	918	42.3408
CLUG_00018T0	1467	953.575	3081	76.5753
CLUG_00019T0	1095	615.582	57398	2209.85
CLUG_00020T0	1014	547.227	841	36.4234
CLUG_00021T0	435	217.201	371	40.4821
CLUG_00022T0	990	502.51	7106	335.145
CLUG_00023T0	453	226.246	24852	2603.35
CLUG_00024T0	666	335.205	8881	627.918
CLUG_00025T0	1371	849.124	3599	100.453
CLUG_00026T0	4206	3624.54	4673	30.5559
CLUG_00027T0	1698	1180.41	92	1.84717
CLUG_00028T0	858	457.603	33	1.70914
CLUG_00029T0	1359	841.353	479	13.493
CLUG_00030T0	594	297.913	21622	1720.12
CLUG_00031T0	207	103.793	0	0
CLUG_00032T0	1227	870.536	938	25.5369
CLUG_00033T0	711	362.091	519	33.9704
CLUG_00034T0	2391	1873.54	4661	58.9616
CLUG_00035T0	2817	2262.14	516	5.40609
CLUG_00036T0	5670	5098.17	335	1.55734
CLUG_00037T0	1224	741.881	116	3.70575
CLUG_00038T0	798	422.807	96	5.38123
CLUG_00039T0	1191	698.268	69	2.34196
CLUG_00040T0	555	278.947	17	1.44437
CLUG_00041T0	1380	862.761	212	5.82368
CLUG_00042T0	1089	584.25	1072	43.4859
CLUG_00043T0	2451	2014.44	513	6.03552
CLUG_00044T0	2508	1983.32	228	2.72455
CLUG_00045T0	660	332.076	860	61.378
CLUG_00046T0	1218	720.514	257	8.45363
CLUG_00047T0	1443	955.504	26531	658.072
CLUG_00048T0	1248	775.8	4304	131.484
CLUG_00049T0	1677	1198.47	2347	46.4127
CLUG_00050T0	1374	884.243	1321	35.4065
CLUG_00051T0	978	498.063	37265	1773.25
CLUG_00052T0	4236	3649.37	5873	38.1411
CLUG_00053T0	1485	1014.22	897	20.961
CLUG_00054T0	1476	1002.11	1557	36.8235
CLUG_00055T0	1056	576.854	805	33.0736
CLUG_00056T0	2169	1653.96	1218	17.4531
CLUG_00057T0	1629	1149.49	12244	252.447
CLUG_00058T0	930	499.23	1785	84.7402
CLUG_00059T0	717	361.97	552	36.1425
CLUG_00060T0	1044	574.65	226	9.32089
CLUG_00061T0	960	547.021	330	14.2976
CLUG_00062T0	1170	677.887	303	10.5934
CLUG_00063T0	3522	2928.72	301	2.4358
CLUG_00064T0	870	437.228	1824	98.8709
CLUG_00065T0	1035	539.065	1533	67.3989
CLUG_00066T0	2259	1702.16	179	2.49232
CLUG_00067T0	513	272.203	25	2.1767
CLUG_00068T0	1251	861.351	56	1.54085
CLUG_00069T0	1290	807.691	1328	38.9677
CLUG_00070T0	804	413.296	68	3.89942
CLUG_00071T0	1314	777.896	116	3.53418
CLUG_00072T0	2151	1654.7	435	6.23047
CLUG_00073T0	4293	3755.78	2803	17.6879
CLUG_00074T0	1359	896.422	432	11.4215
CLUG_00075T0	990	523.299	103924	4706.72
CLUG_00076T0	693	353.781	47581	3187.51
CLUG_00077T0	1938	1362.08	2796	48.6503
CLUG_00078T0	1086	558.813	1664	70.5731
CLUG_00079T0	420	223.912	107	11.3255
CLUG_00080T0	2019	1510.06	3138	49.2506
CLUG_00081T0	1542	1053.8	1536	34.545
CLUG_00082T0	1464	973.14	1243	30.2725
CLUG_00083T0	1581	1112.75	898	19.1264
CLUG_00084T0	792	413.56	585	33.5251
CLUG_00085T0	723	365.14	27693	1797.48
CLUG_00086T0	1629	1195.96	9481	187.884
CLUG_00087T0	1977	1419.4	16227	270.947
CLUG_00088T0	3246	2774.72	3014	25.744
CLUG_00089T0	2217	1707.87	952	13.211
CLUG_00090T0	1011	533.65	1393	61.8653
CLUG_00091T0	960	492.2	858	41.314
CLUG_00092T0	450	230.83	317	32.5476
CLUG_00093T0	1197	717.467	3824	126.319
CLUG_00094T0	555	277.926	317	27.0322
CLUG_00095T0	1509	1067.81	1422	31.5614
CLUG_00096T0	1032	547.625	2324	100.579
CLUG_00097T0	2691	2176.86	1316	14.3278
CLUG_00098T0	1398	882.572	531	14.2592
CLUG_00099T0	1839	1327.25	1454	25.9636
CLUG_00100T0	852	438.13	570	30.8336
CLUG_00101T0	1290	789.022	248	7.44928
CLUG_00102T0	522	261.119	88	7.98723
CLUG_00103T0	807	408.058	381	22.1287
CLUG_00104T0	570	285.597	185	15.3522
CLUG_00105T0	1662	1158.55	860	17.5929
CLUG_00106T0	2946	2388.81	257	2.54978
CLUG_00107T0	690	347.762	70	4.77054
CLUG_00108T0	501	250.469	323	30.5633
CLUG_00109T0	1842	1344.91	1657	29.1999
CLUG_00110T0	495	247.432	324	31.0342
CLUG_00111T0	1737	1220.21	1126	21.8704
CLUG_00112T0	621	311.834	1004	76.3066
CLUG_00113T0	894	444.193	816	43.5382
CLUG_00114T0	687	345.839	10245.1	702.093
CLUG_00115T0	666	336.152	937.879	66.1246
CLUG_00116T0	3180	2720.78	5323	46.3676
CLUG_00117T0	2385	1861.48	1839	23.414
CLUG_00118T0	2070	1589.99	4333	64.5872
CLUG_00119T0	891	488.467	1113	54.0023
CLUG_00120T0	1467	987.705	1774	42.5675
CLUG_00121T0	2064	1549.87	17623	269.486
CLUG_00122T0	1017	514.743	247	11.3726
CLUG_00123T0	1098	619.258	4509	172.568
CLUG_00124T0	3042	2552.99	3049	28.3049
CLUG_00125T0	471	235.311	562	56.6038
CLUG_00126T0	852	427.255	735	40.7711
