target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	1334.36	11149	161.7
CLUG_00002T0	1425	925.271	4930	103.116
CLUG_00003T0	1767	1291.65	3281	49.1594
CLUG_00004T0	1752	1200.37	11265	181.619
CLUG_00005T0	1113	600.446	2849	91.8257
CLUG_00006T0	954	469.627	1639	67.5417
CLUG_00007T0	1323	831.92	2021	47.0143
CLUG_00008T0	1104	631.361	729	22.3458
CLUG_00009T0	873	451.811	955	40.9065
CLUG_00010T0	750	379.804	827	42.1398
CLUG_00011T0	1803	1334.4	2552	37.012
CLUG_00012T0	1413	897.843	784	16.899
CLUG_00013T0	1518	1031.89	1829	34.3026
CLUG_00014T0	1086	565.432	1056	36.1434
CLUG_00015T0	1638	1125.09	197	3.38862
CLUG_00016T0	951	489.353	1570	62.0902
CLUG_00017T0	1008	508.654	5837	222.082
CLUG_00018T0	1467	954.012	158357	3212.4
CLUG_00019T0	1095	607.154	1754	55.9084
CLUG_00020T0	1014	546.6	1161	41.1063
CLUG_00021T0	435	217.201	1457	129.82
CLUG_00022T0	990	496.046	5994	233.852
CLUG_00023T0	453	226.246	6735	576.106
CLUG_00024T0	666	351.49	3218	177.182
CLUG_00025T0	1371	818.127	1831	43.3125
CLUG_00026T0	4206	3550.74	3366	18.346
CLUG_00027T0	1698	1161.25	2633	43.8803
CLUG_00028T0	858	438.073	45	1.98798
CLUG_00029T0	1359	828.561	4765	111.297
CLUG_00030T0	594	297.913	12636	820.855
CLUG_00031T0	207	103.793	0	0
CLUG_00032T0	1227	867.904	5109	113.923
CLUG_00033T0	711	362.91	732	39.0353
CLUG_00034T0	2391	1900.75	41895	426.563
CLUG_00035T0	2817	2220.77	7828	68.2172
CLUG_00036T0	5670	4981.91	7087	27.5304
CLUG_00037T0	1224	743.833	2827	73.5523
CLUG_00038T0	798	420.321	733	33.7496
CLUG_00039T0	1191	699.386	1648	45.6023
CLUG_00040T0	555	279.899	199	13.7593
CLUG_00041T0	1380	873.443	2618	58.0071
CLUG_00042T0	1089	579.849	1891	63.1135
CLUG_00043T0	2451	2000.38	3502	33.8804
CLUG_00044T0	2508	1956	4067	40.2393
CLUG_00045T0	660	332.076	555	32.3445
CLUG_00046T0	1218	722.965	1907	51.0481
CLUG_00047T0	1443	935.441	15860	328.12
CLUG_00048T0	1248	777.472	17861	444.597
CLUG_00049T0	1677	1177.74	14116	231.957
CLUG_00050T0	1374	866.834	3138	70.0588
CLUG_00051T0	978	501.609	2044	78.8609
CLUG_00052T0	4236	3619.85	10215	54.6128
CLUG_00053T0	1485	1003.91	2856	55.0568
CLUG_00054T0	1476	981.877	2353	46.3779
CLUG_00055T0	1056	580.245	8802	293.573
CLUG_00056T0	2169	1642.21	2253	26.5509
CLUG_00057T0	1629	1132.19	5387	92.082
CLUG_00058T0	930	489.583	2738	108.231
CLUG_00059T0	717	358.399	852	46.0064
CLUG_00060T0	1044	574.25	2558	86.2076
CLUG_00061T0	960	564.35	1880	64.4696
CLUG_00062T0	1170	684.969	1373	38.7923
CLUG_00063T0	3522	2876.66	8116	54.6009
CLUG_00064T0	870	444.319	1621	70.6047
CLUG_00065T0	1035	531.894	1089	39.6231
CLUG_00066T0	2259	1686.07	2464	28.2821
CLUG_00067T0	513	256.551	384	28.967
CLUG_00068T0	1251	864.404	916	20.508
CLUG_00069T0	1290	801.744	3311	79.9225
CLUG_00070T0	804	405.501	668	31.8809
CLUG_00071T0	1314	756.769	2711	69.3285
CLUG_00072T0	2151	1635.22	14720	174.212
CLUG_00073T0	4293	3686.16	22699	119.173
CLUG_00074T0	1359	871.469	9479	210.502
CLUG_00075T0	990	528.488	12050	441.263
CLUG_00076T0	693	365.067	5117	271.262
CLUG_00077T0	1938	1344.09	14136	203.537
CLUG_00078T0	1086	567.469	16149	550.744
CLUG_00079T0	420	217.589	254	22.5914
CLUG_00080T0	2019	1520.38	5941	75.6227
CLUG_00081T0	1542	1041.12	5128	95.3224
CLUG_00082T0	1464	981.741	4043	79.699
CLUG_00083T0	1581	1082.14	5102	91.2435
